Channel,Packet Number,Time Sent,Time Received,RTT Unreliable,Time ACK Received,RTT Reliable
0,407,3821190852,Unknown,NA,3821190863,11
1,409,3821190856,3821190863,7,0,0
1,410,3821190857,3821190867,10,0,0
0,408,3821190854,Unknown,NA,3821190868,14
1,411,3821190859,3821190870,11,0,0
0,412,3821190861,Unknown,NA,3821190876,15
1,414,3821190870,3821190877,7,0,0
1,415,3821190872,3821190881,9,0,0
0,413,3821190865,Unknown,NA,3821190881,16
1,416,3821190874,3821190884,10,0,0
1,417,3821190878,3821190888,10,0,0
1,418,3821190884,3821190892,8,0,0
1,420,3821190887,3821190898,11,0,0
0,419,3821190886,Unknown,NA,3821190898,12
1,423,3821190894,3821190904,10,0,0
0,421,3821190889,Unknown,NA,3821190906,17
1,424,3821190896,3821190908,12,0,0
1,425,3821190904,3821190911,7,0,0
0,422,3821190891,Unknown,NA,3821190911,20
1,426,3821190909,3821190914,5,0,0
1,429,3821190917,3821190921,4,0,0
0,427,3821190914,Unknown,NA,3821190921,7
0,428,3821190916,Unknown,NA,3821190927,11
0,430,3821190919,Unknown,NA,3821190932,13
0,431,3821190924,Unknown,NA,3821190936,12
1,433,3821190934,3821190938,4,0,0
0,432,3821190929,Unknown,NA,3821190941,12
1,434,3821190939,3821190942,3,0,0
0,435,3821190943,Unknown,NA,3821190949,6
1,437,3821190947,3821190950,3,0,0
0,436,3821190945,Unknown,NA,3821190954,9
0,438,3821190952,Unknown,NA,3821190959,7
0,439,3821190956,Unknown,NA,3821190963,7
1,440,3821190961,3821190965,4,0,0
0,441,3821190966,Unknown,NA,3821190972,6
1,443,3821190970,3821190973,3,0,0
0,442,3821190968,Unknown,NA,3821190977,9
1,444,3821190974,3821190978,4,0,0
1,446,3821190981,3821190985,4,0,0
0,445,3821190979,Unknown,NA,3821190985,6
1,447,3821190983,3821190988,5,0,0
1,448,3821190987,3821190991,4,0,0
1,450,3821190991,3821190995,4,0,0
0,449,3821190989,Unknown,NA,3821190996,7
1,451,3821190992,3821190998,6,0,0
1,452,3821190994,3821191001,7,0,0
1,453,3821190998,3821191005,7,0,0
1,454,3821191001,3821191007,6,0,0
1,455,3821191002,3821191010,8,0,0
1,457,3821191005,3821191015,10,0,0
0,456,3821191004,Unknown,NA,3821191020,16
1,460,3821191011,3821191022,11,0,0
0,458,3821191007,Unknown,NA,3821191024,17
1,461,3821191012,3821191025,13,0,0
1,462,3821191014,3821191028,14,0,0
0,459,3821191009,Unknown,NA,3821191029,20
1,463,3821191016,3821191031,15,0,0
0,464,3821191017,Unknown,NA,3821191037,20
0,465,3821191022,Unknown,NA,3821191042,20
0,466,3821191027,Unknown,NA,3821191046,19
0,467,3821191032,Unknown,NA,3821191051,19
0,468,3821191034,Unknown,NA,3821191056,22
1,472,3821191053,3821191057,4,0,0
0,469,3821191039,Unknown,NA,3821191060,21
0,470,3821191044,Unknown,NA,3821191065,21
0,471,3821191049,Unknown,NA,3821191070,21
1,475,3821191067,3821191071,4,0,0
0,473,3821191058,Unknown,NA,3821191075,17
1,476,3821191072,3821191076,4,0,0
0,474,3821191063,Unknown,NA,3821191079,16
1,477,3821191077,3821191081,4,0,0
0,478,3821191082,Unknown,NA,3821191089,7
1,480,3821191085,3821191089,4,0,0
0,479,3821191084,Unknown,NA,3821191094,10
0,481,3821191087,Unknown,NA,3821191099,12
1,483,3821191096,3821191100,4,0,0
0,482,3821191091,Unknown,NA,3821191103,12
0,484,3821191101,Unknown,NA,3821191108,7
1,485,3821191106,3821191109,3,0,0
0,486,3821191110,Unknown,NA,3821191117,7
1,488,3821191114,3821191118,4,0,0
1,489,3821191115,3821191121,6,0,0
0,487,3821191112,Unknown,NA,3821191122,10
1,490,3821191120,3821191124,4,0,0
1,492,3821191127,3821191130,3,0,0
0,491,3821191125,Unknown,NA,3821191132,7
0,493,3821191128,Unknown,NA,3821191137,9
0,494,3821191130,Unknown,NA,3821191142,12
0,495,3821191135,Unknown,NA,3821191147,12
0,496,3821191140,Unknown,NA,3821191151,11
1,498,3821191149,3821191153,4,0,0
0,497,3821191144,Unknown,NA,3821191156,12
1,499,3821191153,3821191157,4,0,0
1,500,3821191158,3821191163,5,0,0
1,502,3821191163,3821191168,5,0,0
0,501,3821191161,Unknown,NA,3821191169,8
0,503,3821191165,Unknown,NA,3821191174,9
1,504,3821191167,3821191176,9,0,0
0,505,3821191172,Unknown,NA,3821191183,11
1,507,3821191179,3821191183,4,0,0
0,506,3821191177,Unknown,NA,3821191187,10
1,509,3821191185,3821191188,3,0,0
0,508,3821191180,Unknown,NA,3821191192,12
0,510,3821191189,Unknown,NA,3821191196,7
0,511,3821191194,Unknown,NA,3821191201,7
1,512,3821191198,3821191202,4,0,0
1,513,3821191203,3821191207,4,0,0
0,514,3821191205,Unknown,NA,3821191212,7
1,516,3821191208,3821191213,5,0,0
1,517,3821191210,3821191217,7,0,0
0,515,3821191207,Unknown,NA,3821191217,10
1,518,3821191215,3821191220,5,0,0
1,519,3821191220,3821191223,3,0,0
1,520,3821191221,3821191226,5,0,0
1,522,3821191224,3821191231,7,0,0
0,521,3821191223,Unknown,NA,3821191233,10
1,523,3821191226,3821191234,8,0,0
1,524,3821191227,3821191239,12,0,0
0,525,3821191229,Unknown,NA,3821191246,17
0,526,3821191231,Unknown,NA,3821191250,19
1,530,3821191240,3821191251,11,0,0
0,527,3821191235,Unknown,NA,3821191254,19
1,531,3821191242,3821191256,14,0,0
0,528,3821191237,Unknown,NA,3821191259,22
1,532,3821191243,3821191260,17,0,0
1,533,3821191248,3821191265,17,0,0
0,529,3821191239,Unknown,NA,3821191265,26
0,534,3821191252,Unknown,NA,3821191270,18
0,535,3821191257,Unknown,NA,3821191276,19
0,536,3821191262,Unknown,NA,3821191280,18
0,537,3821191268,Unknown,NA,3821191285,17
0,538,3821191273,Unknown,NA,3821191290,17
1,541,3821191288,3821191291,3,0,0
0,539,3821191278,Unknown,NA,3821191295,17
1,542,3821191293,3821191296,3,0,0
0,540,3821191283,Unknown,NA,3821191300,17
0,543,3821191298,Unknown,NA,3821191304,6
0,544,3821191302,Unknown,NA,3821191309,7
1,545,3821191307,3821191310,3,0,0
1,546,3821191312,3821191315,3,0,0
0,547,3821191313,Unknown,NA,3821191321,8
1,549,3821191317,3821191322,5,0,0
0,548,3821191315,Unknown,NA,3821191326,11
1,551,3821191323,3821191327,4,0,0
0,550,3821191319,Unknown,NA,3821191331,12
0,552,3821191328,Unknown,NA,3821191335,7
0,553,3821191333,Unknown,NA,3821191340,7
1,554,3821191338,3821191342,4,0,0
1,556,3821191345,3821191349,4,0,0
0,555,3821191343,Unknown,NA,3821191350,7
1,557,3821191346,3821191352,6,0,0
1,558,3821191348,3821191356,8,0,0
0,559,3821191353,Unknown,NA,3821191361,8
0,560,3821191355,Unknown,NA,3821191366,11
1,563,3821191359,3821191367,8,0,0
1,564,3821191364,3821191370,6,0,0
0,561,3821191356,Unknown,NA,3821191370,14
0,562,3821191358,Unknown,NA,3821191375,17
0,565,3821191368,Unknown,NA,3821191380,12
0,566,3821191373,Unknown,NA,3821191383,10
0,567,3821191377,Unknown,NA,3821191386,9
1,569,3821191391,3821191394,3,0,0
0,568,3821191389,Unknown,NA,3821191396,7
1,570,3821191392,3821191397,5,0,0
0,571,3821191394,Unknown,NA,3821191403,9
0,572,3821191399,Unknown,NA,3821191406,7
0,573,3821191401,Unknown,NA,3821191409,8
1,575,3821191414,3821191417,3,0,0
0,574,3821191412,Unknown,NA,3821191419,7
1,576,3821191415,3821191421,6,0,0
1,577,3821191417,3821191424,7,0,0
1,579,3821191423,3821191429,6,0,0
0,578,3821191422,Unknown,NA,3821191431,9
1,581,3821191427,3821191434,7,0,0
0,580,3821191425,Unknown,NA,3821191436,11
1,582,3821191429,3821191437,8,0,0
0,583,3821191434,Unknown,NA,3821191443,9
1,585,3821191440,3821191444,4,0,0
0,584,3821191439,Unknown,NA,3821191446,7
0,586,3821191449,Unknown,NA,3821191455,6
1,588,3821191452,3821191456,4,0,0
1,589,3821191453,3821191459,6,0,0
0,587,3821191450,Unknown,NA,3821191460,10
0,590,3821191458,Unknown,NA,3821191465,7
1,591,3821191463,3821191467,4,0,0
0,592,3821191468,Unknown,NA,3821191474,6
1,594,3821191472,3821191475,3,0,0
0,593,3821191470,Unknown,NA,3821191478,8
0,595,3821191476,Unknown,NA,3821191483,7
0,596,3821191481,Unknown,NA,3821191488,7
0,597,3821191486,Unknown,NA,3821191493,7
1,598,3821191491,3821191494,3,0,0
1,600,3821191498,3821191501,3,0,0
0,599,3821191495,Unknown,NA,3821191502,7
1,601,3821191500,3821191504,4,0,0
0,602,3821191505,Unknown,NA,3821191511,6
1,604,3821191509,3821191512,3,0,0
0,603,3821191507,Unknown,NA,3821191516,9
0,605,3821191513,Unknown,NA,3821191521,8
0,606,3821191518,Unknown,NA,3821191525,7
1,607,3821191523,3821191526,3,0,0
0,608,3821191528,Unknown,NA,3821191535,7
1,611,3821191533,3821191537,4,0,0
0,609,3821191529,Unknown,NA,3821191540,11
0,610,3821191531,Unknown,NA,3821191544,13
1,613,3821191542,3821191546,4,0,0
0,612,3821191538,Unknown,NA,3821191549,11
1,614,3821191547,3821191551,4,0,0
1,615,3821191552,3821191556,4,0,0
1,617,3821191555,3821191561,6,0,0
0,616,3821191554,Unknown,NA,3821191562,8
1,618,3821191557,3821191564,7,0,0
1,620,3821191560,3821191569,9,0,0
0,619,3821191559,Unknown,NA,3821191570,11
1,621,3821191565,3821191572,7,0,0
1,622,3821191567,3821191576,9,0,0
1,623,3821191573,3821191580,7,0,0
1,624,3821191575,3821191583,8,0,0
1,625,3821191576,3821191587,11,0,0
1,627,3821191579,3821191591,12,0,0
0,626,3821191578,Unknown,NA,3821191593,15
1,629,3821191582,3821191597,15,0,0
0,628,3821191581,Unknown,NA,3821191599,18
0,630,3821191584,Unknown,NA,3821191604,20
1,632,3821191587,3821191605,18,0,0
0,631,3821191585,Unknown,NA,3821191608,23
1,633,3821191589,3821191610,21,0,0
1,635,3821191596,3821191615,19,0,0
0,634,3821191591,Unknown,NA,3821191617,26
1,636,3821191602,3821191619,17,0,0
0,637,3821191606,Unknown,NA,3821191625,19
1,640,3821191615,3821191628,13,0,0
0,638,3821191611,Unknown,NA,3821191630,19
1,641,3821191620,3821191632,12,0,0
0,639,3821191613,Unknown,NA,3821191634,21
1,642,3821191621,3821191635,14,0,0
0,643,3821191623,Unknown,NA,3821191641,18
0,644,3821191628,Unknown,NA,3821191645,17
1,647,3821191638,3821191645,7,0,0
1,648,3821191643,3821191649,6,0,0
0,645,3821191632,Unknown,NA,3821191649,17
1,649,3821191647,3821191652,5,0,0
0,646,3821191636,Unknown,NA,3821191654,18
1,650,3821191652,3821191656,4,0,0
1,651,3821191656,3821191661,5,0,0
1,652,3821191658,3821191665,7,0,0
1,653,3821191659,3821191668,9,0,0
1,655,3821191663,3821191673,10,0,0
0,654,3821191661,Unknown,NA,3821191674,13
1,656,3821191664,3821191676,12,0,0
1,657,3821191666,3821191680,14,0,0
0,658,3821191667,Unknown,NA,3821191686,19
0,659,3821191669,Unknown,NA,3821191692,23
1,663,3821191678,3821191692,14,0,0
1,664,3821191681,3821191696,15,0,0
0,660,3821191670,Unknown,NA,3821191696,26
0,661,3821191672,Unknown,NA,3821191701,29
1,667,3821191689,3821191702,13,0,0
0,662,3821191677,Unknown,NA,3821191706,29
0,665,3821191682,Unknown,NA,3821191710,28
0,666,3821191684,Unknown,NA,3821191713,29
0,668,3821191694,Unknown,NA,3821191716,22
0,669,3821191699,Unknown,NA,3821191719,20
0,670,3821191703,Unknown,NA,3821191723,20
0,671,3821191708,Unknown,NA,3821191726,18
1,672,3821191728,3821191732,4,0,0
1,673,3821191730,3821191736,6,0,0
0,674,3821191732,Unknown,NA,3821191742,10
1,677,3821191737,3821191744,7,0,0
1,678,3821191740,3821191747,7,0,0
0,675,3821191733,Unknown,NA,3821191747,14
0,676,3821191736,Unknown,NA,3821191752,16
0,679,3821191745,Unknown,NA,3821191757,12
0,680,3821191750,Unknown,NA,3821191762,12
1,682,3821191759,3821191763,4,0,0
0,681,3821191755,Unknown,NA,3821191767,12
0,683,3821191764,Unknown,NA,3821191771,7
1,684,3821191769,3821191773,4,0,0
1,686,3821191776,3821191779,3,0,0
0,685,3821191774,Unknown,NA,3821191781,7
1,687,3821191778,3821191783,5,0,0
1,689,3821191784,3821191788,4,0,0
0,688,3821191779,Unknown,NA,3821191790,11
1,690,3821191786,3821191791,5,0,0
0,691,3821191787,Unknown,NA,3821191797,10
1,692,3821191800,3821191803,3,0,0
0,693,3821191802,Unknown,NA,3821191810,8
0,694,3821191803,Unknown,NA,3821191814,11
0,695,3821191805,Unknown,NA,3821191819,14
0,696,3821191807,Unknown,NA,3821191824,17
1,699,3821191822,3821191825,3,0,0
0,697,3821191812,Unknown,NA,3821191829,17
0,698,3821191817,Unknown,NA,3821191834,17
0,700,3821191827,Unknown,NA,3821191838,11
0,701,3821191832,Unknown,NA,3821191843,11
1,703,3821191841,3821191844,3,0,0
0,702,3821191836,Unknown,NA,3821191846,10
1,704,3821191849,3821191853,4,0,0
1,705,3821191851,3821191856,5,0,0
0,706,3821191853,Unknown,NA,3821191862,9
1,710,3821191859,3821191866,7,0,0
0,707,3821191854,Unknown,NA,3821191867,13
0,708,3821191856,Unknown,NA,3821191874,18
1,713,3821191871,3821191875,4,0,0
0,709,3821191857,Unknown,NA,3821191879,22
0,711,3821191860,Unknown,NA,3821191884,24
1,715,3821191881,3821191885,4,0,0
0,712,3821191865,Unknown,NA,3821191888,23
0,714,3821191876,Unknown,NA,3821191893,17
0,716,3821191886,Unknown,NA,3821191898,12
1,718,3821191895,3821191899,4,0,0
0,717,3821191891,Unknown,NA,3821191902,11
0,719,3821191900,Unknown,NA,3821191906,6
1,720,3821191908,3821191912,4,0,0
1,721,3821191910,3821191915,5,0,0
1,723,3821191913,3821191921,8,0,0
0,722,3821191912,Unknown,NA,3821191922,10
1,724,3821191915,3821191924,9,0,0
1,726,3821191918,3821191930,12,0,0
0,725,3821191916,Unknown,NA,3821191931,15
1,727,3821191920,3821191933,13,0,0
1,728,3821191925,3821191937,12,0,0
1,730,3821191929,3821191942,13,0,0
0,729,3821191927,Unknown,NA,3821191942,15
1,731,3821191934,3821191944,10,0,0
1,733,3821191937,3821191950,13,0,0
0,732,3821191936,Unknown,NA,3821191950,14
0,734,3821191939,Unknown,NA,3821191955,16
1,735,3821191957,3821191960,3,0,0
0,736,3821191958,Unknown,NA,3821191969,11
1,740,3821191965,3821191973,8,0,0
0,737,3821191960,Unknown,NA,3821191973,13
0,738,3821191962,Unknown,NA,3821191978,16
1,743,3821191976,3821191980,4,0,0
0,739,3821191963,Unknown,NA,3821191984,21
0,741,3821191967,Unknown,NA,3821191988,21
0,742,3821191971,Unknown,NA,3821191991,20
0,744,3821191982,Unknown,NA,3821191994,12
1,745,3821191997,3821192000,3,0,0
0,746,3821191999,Unknown,NA,3821192007,8
0,747,3821192000,Unknown,NA,3821192012,12
0,748,3821192002,Unknown,NA,3821192017,15
1,752,3821192015,3821192018,3,0,0
0,749,3821192003,Unknown,NA,3821192022,19
0,750,3821192005,Unknown,NA,3821192027,22
0,751,3821192010,Unknown,NA,3821192031,21
0,753,3821192020,Unknown,NA,3821192036,16
0,754,3821192024,Unknown,NA,3821192039,15
0,755,3821192029,Unknown,NA,3821192043,14
0,756,3821192034,Unknown,NA,3821192046,12
1,757,3821192048,3821192051,3,0,0
1,759,3821192051,3821192057,6,0,0
0,758,3821192050,Unknown,NA,3821192058,8
1,761,3821192055,3821192062,7,0,0
1,762,3821192056,3821192065,9,0,0
0,760,3821192053,Unknown,NA,3821192065,12
0,763,3821192062,Unknown,NA,3821192071,9
1,764,3821192069,3821192072,3,0,0
1,765,3821192074,3821192077,3,0,0
0,766,3821192076,Unknown,NA,3821192083,7
1,768,3821192079,3821192084,5,0,0
0,767,3821192077,Unknown,NA,3821192087,10
1,770,3821192085,3821192089,4,0,0
0,769,3821192081,Unknown,NA,3821192092,11
1,771,3821192090,3821192094,4,0,0
1,772,3821192095,3821192099,4,0,0
0,773,3821192097,Unknown,NA,3821192106,9
1,775,3821192100,3821192106,6,0,0
0,774,3821192098,Unknown,NA,3821192110,12
1,777,3821192103,3821192111,8,0,0
0,776,3821192102,Unknown,NA,3821192115,13
0,778,3821192108,Unknown,NA,3821192120,12
0,779,3821192113,Unknown,NA,3821192125,12
1,781,3821192123,3821192126,3,0,0
0,780,3821192118,Unknown,NA,3821192130,12
1,782,3821192128,3821192131,3,0,0
1,783,3821192132,3821192135,3,0,0
0,784,3821192133,Unknown,NA,3821192141,8
1,786,3821192136,3821192142,6,0,0
0,785,3821192135,Unknown,NA,3821192147,12
1,788,3821192139,3821192147,8,0,0
1,789,3821192144,3821192151,7,0,0
0,787,3821192138,Unknown,NA,3821192152,14
0,790,3821192149,Unknown,NA,3821192156,7
1,791,3821192154,3821192157,3,0,0
0,792,3821192158,Unknown,NA,3821192164,6
1,794,3821192162,3821192164,2,0,0
0,793,3821192160,Unknown,NA,3821192167,7
1,795,3821192165,3821192168,3,0,0
1,796,3821192169,3821192172,3,0,0
1,797,3821192171,3821192175,4,0,0
1,798,3821192172,3821192178,6,0,0
0,799,3821192173,Unknown,NA,3821192183,10
1,802,3821192178,3821192186,8,0,0
0,800,3821192175,Unknown,NA,3821192188,13
1,804,3821192185,3821192192,7,0,0
0,801,3821192176,Unknown,NA,3821192193,17
1,805,3821192191,3821192195,4,0,0
0,803,3821192180,Unknown,NA,3821192198,18
0,806,3821192196,Unknown,NA,3821192203,7
1,807,3821192201,3821192203,2,0,0
1,809,3821192206,3821192209,3,0,0
0,808,3821192205,Unknown,NA,3821192209,4
0,810,3821192208,Unknown,NA,3821192214,6
0,811,3821192212,Unknown,NA,3821192219,7
0,812,3821192217,Unknown,NA,3821192222,5
